2008/06/18;12:04:32 p.m.;192.168.200.12;192.168.205.4;te falta algo mas??
2008/06/18;12:04:45 p.m.;192.168.205.4;192.168.200.12;PUES YA LO AVERIGUE POR ACA TRANQUIS
2008/06/18;12:04:52 p.m.;192.168.200.12;192.168.205.4;ah ya
2008/06/18;12:05:54 p.m.;192.168.200.12;192.168.205.4;y o del seguro al fin
2008/06/18;12:06:21 p.m.;192.168.205.4;192.168.200.12;YO TE ESCRIBI QUE SI ES OBLIGATORIO POR QUE SI TE MORIS DEJAS 10 MILLONES
2008/06/18;12:06:49 p.m.;192.168.200.12;192.168.205.4;pero es que tengo uno que saque en diciembre
2008/06/18;12:07:14 p.m.;192.168.200.12;192.168.205.4;ok bueno en la tarde hablamos
2008/06/18;12:07:17 p.m.;192.168.205.4;192.168.200.12;PERO TE FALTAN 6 MESES Y DESPUES Y NO LLORES ES MEJOR QUE SOBRE Y NO QUE FALTE
2008/06/18;12:07:19 p.m.;192.168.200.12;192.168.205.4;chaito y gracias maris
2008/06/18;12:07:23 p.m.;192.168.205.4;192.168.200.12;OK
2008/06/18;12:07:26 p.m.;192.168.200.12;192.168.205.4;listo
2008/06/18;12:07:30 p.m.;192.168.205.4;192.168.200.12;OK
2008/06/18;01:48:27 p.m.;192.168.200.59;192.168.205.4;hello
2008/06/18;01:48:34 p.m.;192.168.205.4;192.168.200.59;hello motor
2008/06/18;01:48:38 p.m.;192.168.200.59;192.168.205.4;llamame
2008/06/18;01:48:42 p.m.;192.168.205.4;192.168.200.59;ok
2008/06/18;01:50:10 p.m.;192.168.205.11;192.168.205.4;me haces el fa y me regalas el No cta de la cc 88281484 es de ocaña
2008/06/18;02:01:38 p.m.;192.168.200.101;192.168.200.219;hola señorita.
2008/06/18;02:01:55 p.m.;192.168.200.219;192.168.200.101;HOLA LUCHE IMAGINATE
2008/06/18;02:02:06 p.m.;192.168.200.101;192.168.200.219;que.
2008/06/18;02:02:19 p.m.;192.168.200.219;192.168.200.101;QUE UNA PRIMITA LE GUSTARON ENTONCES NO HAY PROBLEMA SI SE LOS TRAIGO MAÑANA ES QUE NO SE LOS ALCANZO A MEDI
2008/06/18;02:02:23 p.m.;192.168.200.219;192.168.200.101;R PERODON
2008/06/18;02:03:57 p.m.;192.168.200.59;192.168.205.4;hello
2008/06/18;02:04:07 p.m.;192.168.205.4;192.168.200.59;hello
2008/06/18;02:04:10 p.m.;192.168.200.101;192.168.200.219;no tranquila-
2008/06/18;02:04:23 p.m.;192.168.200.59;192.168.205.4;entro sandra
2008/06/18;02:04:38 p.m.;192.168.200.219;192.168.200.101;LISTO ENTONCES MAÑANA SE LOS TRAIGO
2008/06/18;02:04:40 p.m.;192.168.200.219;192.168.200.101;SIIIIIIIIIIIIIIIIIIIIIIIIII
2008/06/18;02:04:57 p.m.;192.168.200.59;192.168.205.4;me dijo que ud habian hablado el domingo y que se habia dicho que el regalo lo tenian que comprar los 2 padrinos
2008/06/18;02:05:15 p.m.;192.168.200.59;192.168.205.4;para que no fueran a dar un regalo chc
2008/06/18;02:05:25 p.m.;192.168.200.59;192.168.205.4;perdon chichi
2008/06/18;02:05:58 p.m.;192.168.200.59;192.168.205.4;yo le dije que yo te iva a dar el regalo con lj y no le gusto de mucho,
2008/06/18;02:06:46 p.m.;192.168.200.59;192.168.205.4;y dijo entonces voy a ver que le regalamos, me averiguas si no te regala la estufa
2008/06/19;07:59:12 a.m.;192.168.200.150;192.168.203.8;F  E  L  I  Z  C U  M  P  L  E  A  Ñ  O  S   P  A  T  I IIIIIIIIII, QUE CUMPLA MUCHOS MAS MANO,   FELIZ DIA
2008/06/19;07:59:59 a.m.;192.168.203.8;192.168.200.150;gracias hermano, que tenga buen dia tambien
2008/06/19;08:00:03 a.m.;192.168.200.150;192.168.203.8;OK
2008/06/19;08:52:43 a.m.;192.168.200.101;192.168.203.8;hola juan buenos dias, serias tan amable de decirle a mayra que abra el chat.
2008/06/19;08:53:00 a.m.;192.168.203.8;192.168.200.101;buenos dias, ya le digo
2008/06/19;08:53:07 a.m.;192.168.200.101;192.168.203.8;listo gracias.
2008/06/19;09:00:42 a.m.;192.168.200.63;192.168.200.14;un favor me trae 8 monedas
2008/06/19;09:00:57 a.m.;192.168.200.14;192.168.200.63;listo don Eduardo
2008/06/19;09:06:29 a.m.;192.168.200.101;192.168.203.30;mayra, haceme el favor y me recordas el tema.
2008/06/19;09:06:44 a.m.;192.168.203.30;192.168.200.101;si claro
2008/06/19;09:07:08 a.m.;192.168.203.30;192.168.200.101;cual es el papel que se debe tener en la eficacia gerencial
2008/06/19;09:07:28 a.m.;192.168.200.13;192.168.205.3;hola maris
2008/06/19;09:07:41 a.m.;192.168.200.13;192.168.205.3;o ingrit??
2008/06/19;09:08:04 a.m.;192.168.200.101;192.168.203.30;entonces ya te informo.
2008/06/19;09:08:14 a.m.;192.168.203.30;192.168.200.101;listo luchy
2008/06/19;09:08:39 a.m.;192.168.205.3;192.168.200.13;mary
2008/06/19;09:08:46 a.m.;192.168.200.13;192.168.205.3;estrenando???
2008/06/19;09:08:54 a.m.;192.168.200.13;192.168.205.3;ve y como haces para el fin de mes??
2008/06/19;09:09:03 a.m.;192.168.200.13;192.168.205.3;por que es pesado??
2008/06/19;09:11:51 a.m.;192.168.205.3;192.168.200.13;yo nos se seguramente me enloquecere
2008/06/19;09:12:13 a.m.;192.168.200.13;192.168.205.3;y acordate que hoy es 19
2008/06/19;09:12:37 a.m.;192.168.200.13;192.168.205.3;tenes practicamente un mes para lo de tu matri
2008/06/19;09:12:55 a.m.;192.168.203.7;192.168.200.22;HOLA MUY BUENOS DIAS
2008/06/19;09:13:07 a.m.;192.168.200.22;192.168.203.7;HOLA NENA BUENOS DIAS
2008/06/19;09:13:11 a.m.;192.168.205.3;192.168.200.13;pues voy salir como loca, empezando y ya estoy como envolatada con el puesto
2008/06/19;09:13:15 a.m.;192.168.200.22;192.168.203.7;CUENTAME
2008/06/19;09:13:29 a.m.;192.168.205.3;192.168.200.13;ya tu carpeta la tengo aca
